HORAIRE RENDEZ-VOUS SEMAINE DU 17 NOVEMBRE;;;
Globocam;Lundi;LA58;
;Mardi;RO1022;
;Mercredi;LA4524;
;Jeudi ;RO1421;
;Vendredi;;
Transdiff;Lundi;CA3023;CA2321
;Mardi;CA3225;CA2321
;Mercredi;CA2722;CA2321
;Jeudi ;CA2421;
;Vendredi;;
Illimite;Lundi;;
;Mardi;;
;Mercredi;;
;Jeudi ;;
;Vendredi;;
Jeffrey;Lundi;LA4024;
;Mardi;CA1920;
;Mercredi;CA1920;RO0524
;Jeudi ;CA2222;
;Vendredi;;
Kenworth;Lundi;RO1720;
;Mardi;RO1720;
;Mercredi;RO0624;
;Jeudi ;RO0724;
;Vendredi;;
Autres;Lundi;CA2522 (Labrie);LA43224(Labrie)
;Mardi;;
;Mercredi;;
;Jeudi ;;
;Vendredi;;
